sofifa_id,nationality,club_name,league_name
230270,Brazil,Fortaleza,Campeonato Brasileiro Série A
230290,Brazil,Ceará Sporting Club,Campeonato Brasileiro Série A
230345,Brazil,Vasco da Gama,Campeonato Brasileiro Série A
230438,Brazil,Club Athletico Paranaense,Campeonato Brasileiro Série A
232070,Paraguay,Sportivo Luqueño,Paraguayan Primera División
232164,Norway,IK Start,Norwegian Eliteserien
232453,Japan,Hokkaido Consadole Sapporo,Japanese J. League Division 1
232456,Japan,Shonan Bellmare,Japanese J. League Division 1
232598,Japan,FC Tokyo,Japanese J. League Division 1
232680,Saudi Arabia,Al Wehda,Saudi Abdul L. Jameel League
232741,Japan,Yokohama FC,Japanese J. League Division 1
232851,Japan,Shimizu S-Pulse,Japanese J. League Division 1
233533,Venezuela,Zamora FC,Venezuelan Primera División
233719,China PR,Shijiazhuang Ever Bright F.C.,Chinese Super League
234650,Austria,FC Botoşani,Romanian Liga I
234692,England,Port Vale,English League Two
236171,Brazil,Ceará Sporting Club,Campeonato Brasileiro Série A
237776,Japan,Kawasaki Frontale,Japanese J. League Division 1
238108,China PR,Beijing Sinobo Guoan FC,Chinese Super League
238588,Germany,VfL Osnabrück,German 2. Bundesliga
238964,Germany,SpVgg Unterhaching,German 3. Bundesliga
240397,Argentina,Club Atlético Tigre,Argentinian Primera B Nacional
240470,France,FC Chambly Oise,French Ligue 2
241287,Chinese Taipei,Qingdao Huanghai F.C.,Chinese Super League
242212,England,Cambridge United,English League Two
242221,Saudi Arabia,Al Wehda,Saudi Abdul L. Jameel League
242500,Romania,UTA Arad,Romanian Liga I
242599,Denmark,AC Horsens,Danish Superliga
245521,Saudi Arabia,Al Hazem,Saudi Abdul L. Jameel League
246433,Sweden,Falkenbergs FF,Swedish Allsvenskan
247205,Slovakia,Cracovia,Polish T-Mobile Ekstraklasa
247673,United Arab Emirates,Al Ain FC,UAE Arabian Gulf League
247985,Romania,Academica Clinceni,Romanian Liga I
250953,Slovakia,Piast Gliwice,Polish T-Mobile Ekstraklasa
251041,Romania,Chindia Târgovişte,Romanian Liga I
251065,Romania,Academica Clinceni,Romanian Liga I
251089,Poland,Stal Mielec,Polish T-Mobile Ekstraklasa
251215,Austria,WSG Tirol,Austrian Football Bundesliga
251723,India,,
251727,India,,
252096,Venezuela,AC Mineros de Guayana,Venezuelan Primera División
252983,Venezuela,Estudiantes de Mérida,Venezuelan Primera División
253301,Uruguay,Centro Atlético Fénix,Uruguayan Primera División
253597,Bolivia,Nacional Potosí,Liga de Fútbol Profesional Boliviano
253797,Colombia,Aragua FC,Venezuelan Primera División
253849,Ecuador,Delfín SC,Ecuadorian Serie A
254024,Brazil,Club Blooming,Liga de Fútbol Profesional Boliviano
